Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
org.springframework.security:spring-security-config,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.security:spring-security-config:6.4.2,gav://org.springframework.security:spring-security-config,6.4.2
org.springframework.security:spring-security-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.security:spring-security-core:6.4.2,gav://org.springframework.security:spring-security-core,6.4.2
org.springframework.security:spring-security-crypto,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.security:spring-security-crypto:6.4.2,gav://org.springframework.security:spring-security-crypto,6.4.2
org.springframework.security:spring-security-oauth2-authorization-server,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.security:spring-security-oauth2-authorization-server:1.4.1,gav://org.springframework.security:spring-security-oauth2-authorization-server,1.4.1
org.springframework.security:spring-security-oauth2-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.security:spring-security-oauth2-core:6.4.2,gav://org.springframework.security:spring-security-oauth2-core,6.4.2
org.springframework.security:spring-security-oauth2-jose,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.security:spring-security-oauth2-jose:6.4.2,gav://org.springframework.security:spring-security-oauth2-jose,6.4.2
org.springframework.security:spring-security-oauth2-resource-server,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.security:spring-security-oauth2-resource-server:6.4.2,gav://org.springframework.security:spring-security-oauth2-resource-server,6.4.2
org.springframework.security:spring-security-saml2-service-provider,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.security:spring-security-saml2-service-provider:6.4.2,gav://org.springframework.security:spring-security-saml2-service-provider,6.4.2
org.springframework.security:spring-security-web,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.security:spring-security-web:6.4.2,gav://org.springframework.security:spring-security-web,6.4.2
org.springframework.ws:spring-ws-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.ws:spring-ws-core:4.0.11,gav://org.springframework.ws:spring-ws-core,4.0.11
org.springframework.ws:spring-ws-security,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.ws:spring-ws-security:4.0.11,gav://org.springframework.ws:spring-ws-security,4.0.11
org.springframework.ws:spring-xml,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework.ws:spring-xml:4.0.11,gav://org.springframework.ws:spring-xml,4.0.11
org.springframework:spring-aop,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework:spring-aop:6.2.1,gav://org.springframework:spring-aop,6.2.1
org.springframework:spring-aspects,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework:spring-aspects:6.2.1,gav://org.springframework:spring-aspects,6.2.1
org.springframework:spring-beans,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.springframework:spring-beans:6.2.1,gav://org.springframework:spring-beans,6.2.1
